author,rating,content,updated,link
Xelle Fortune,1,"Spotify is constantly going downhill. The random function queues up the same 100 songs every single time I click it, oh & I have 11700 songs saved, so that's mathematically improbable. Even trying to remove those songs, Spotify will readd them to the queue",2025-09-17 00:45:37,https://play.google.com/store/apps/details?id=com.spotify.music
Karthik,5,bubu,2025-09-17 00:38:30,https://play.google.com/store/apps/details?id=com.spotify.music
Aaleyah Tomorrow,5,one of my fave apps!!!,2025-09-17 00:32:16,https://play.google.com/store/apps/details?id=com.spotify.music
Mudasiru Olanihun,5,exceptional,2025-09-17 00:31:47,https://play.google.com/store/apps/details?id=com.spotify.music
Chester,5,The best music app to exist though I wish it was completely free.,2025-09-17 00:21:44,https://play.google.com/store/apps/details?id=com.spotify.music
Tankmagic007,5,Cool music,2025-09-16T11:09:39-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
JN or egger #3 (a fake name),5,It’s a good app to listen to music when I’m studying and playing Fortnite,2025-09-16T11:03:08-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
Jerry Kuru,5,"Love App , the recommendation engine injects songs by default for my personal playlist. I would like my personal playlist list to be just the songs I added don’t want machine adding songs.",2025-09-16T10:59:57-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
“Essentially You”,5,5 Stars,2025-09-16T10:53:58-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
Tresevg,5,Very relevant topics,2025-09-16T10:37:22-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
💖🤎🪬,1,I don’t wanna contribute to a platform that uses ai to diminish the work of other creatives and pollutes to earth. Our time is running out and Spotify will be apart of what caused a mass extinction.,2025-09-16T10:26:19-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
Qwertyuoopanw dhbrjr ne,5,Its a good app all kinda music is available on this aap but these adds are not good,2025-09-16T10:15:46-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
constantlado,4,they finally gave us spotify free users ability to choose our own songs!!!!!,2025-09-16T10:13:01-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
Cracken04,1,"I loved Spotify for the longest time but I’ve noticed over the last year or so that their services have gone downhill slowly so it was almost unnoticeable, the prices are increasing and the overall experience feels less user-friendly. Features that used to make the app stand out, like curated playlists and seamless discovery, don’t feel as fresh or personalized anymore. On top of that, ads and promotions seem more intrusive, and it feels like the focus has shifted more toward maximizing profit than improving the listener’s experience.",2025-09-16T10:09:50-07:00,https://itunes.apple.com/us/review?id=324684580&type=Purple%20Software
